country,id
Denmark,e
Dominican Republic,a
Haiti,a
Spain,e
Italy,e
Germany,e
France,e
United Kingdom,e
Brazil,a
Uruguay,a
Argentina,a
Chile,a
Peru,a
Panama,a
Colombia,a
Canada,a
Mexico,a
Costa Rica,a
Nicaragua,a
Honduras,a
El Salvador,a
Guatemala,a
Venezuela,a
Cuba,a
Japan,as
Belgium,e
Ireland,e
Netherlands,e
Switzerland,e
Ecuador,e
Morocco,af
Egypt,md
Iran,md
U.S.S.R.,as
Greece,e
Portugal,e
Austria,e
"Germany, Federal Republic of",e
Luxembourg,e
Israel,md
Jordan,md
Syria,md
Lebanon,md
Iraq,md
Saudi Arabia,md
India,as
Pakistan,as
Turkey,md
Libya,af
"Korea, Republic of",as
Philippines,as
Republic of China,as
Thailand,as
Burma,as
Laos,as
Cambodia,as
Vietnam,as
Vatican City,e
Yugoslavia,e
Ceylon,as
Indonesia,as
Australia,as
Norway,e
New Zealand,as
Iceland,e
Paraguay,a
Finland,e
Malaysia,as
Afghanistan,md
Tunisia,af
Ethiopia,af
Kenya,af
Zambia,af
Democratic Republic of the Congo (Zaire),af
Cameroon,af
Nigeria,af
Ghana,af
Liberia,af
Netherlands Antilles,a
"China, People's Republic of",as
Poland,e
Sri Lanka,as
Yemen,md
Bahrain,md
Kuwait,md
Romania,e
Hungary,e
Jamaica,a
Czechoslovakia,e
China,as
Algeria,af
Cyprus,e
Bangladesh,as
Tanzania,af
Senegal,af
Sweden,e
Bolivia,a
South Africa,af
Grenada,a
Trinidad and Tobago,a
Sudan,af
Southern Rhodesia (Zimbabwe),af
Bahamas,a
St. Lucia,a
Barbados,a
Singapore,as
Fiji,as
Brunei Darussalam,as
Palau,af
Cote d'Ivoire,af
Western Samoa,as
Marshall Islands,as
Oman,md
Malta,e
German Democratic Republic,e
Bulgaria,e
Namibia,af
Mongolia,as
United Arab Emirates,md
Albania,e
Estonia,e
Latvia,e
Lithuania,e
Kirghizia,e
Kazakhstan,as
Byelorussia,as
Ukraine,e
Moldova,e
Armenia,e
Azerbaijan,as
Tajikistan,as
Turkmenistan,as
Uzbekistan,as
Georgia,as
Maldives,as
Russia,as
Belarus,as
Czech Republic,e
Palestinian Authority,md
Croatia,e
Bosnia-Herzegovina,e
Bosnia,e
Mali,af
Angola,af
Serbia,e
Slovenia,e
Qatar,md
Uganda,af
Rwanda,af
Zimbabwe,af
Papua New Guinea,af
"Macedonia, Former Yugoslav Republic of",e
Serbia-Montenegro (Kosovo),e
Guinea,af
Sierra Leone,af
Slovakia,e
Kyrgyzstan,as
"Korea, North",as
Mauritius,as
Botswana,af
Nepal,as
Gabon,af
Cape Verde,af
Serbia and Montenegro,e
Denmark (Greenland),e
Benin,af
Samoa,as
Kosovo,e
Kyrgyz Republic,as
Togo,as
South Sudan,af
Malawi,af
Cook Islands,as
Timor Leste,as
Brunei,as
Burma (Myanmar),as
United Kingdom (Northern Ireland),e
"Korea, South",as
South Korea,as
"Congo, Democratic Republic of",af
Solomon Islands,as
United Kingom (Wales),e
Somalia,af
Djibouti,af
Korea,as
