original_country,original_city,original_date,description,country_modified_for_geo,city_modified_for_geo,date,sec_id,sec_name,id,glat,glon,gcity,gcountry,isGeocoded,split_added,original_line,start_time,end_time,start_time_form,end_time_form,elapsed_days
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)","January 9——12, 1866",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,Virgin Islands,"St. Thomas, St. Croix, Frederikstadt, Christianstadt",,sec-0,William Henry Seward,0,18.3380965,-64.8940946,,U.S. Virgin Islands,1,,1,-3.28119E+12,-3.28094E+12,Tue Jan 09 1866 00:00:00 GMT-0500 (EST),Fri Jan 12 1866 00:00:00 GMT-0500 (EST),3
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)","January 9���12, 1866",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,Virgin Islands,St. Thomas,,sec-0,William Henry Seward,1,18.3380965,-64.8940946,,U.S. Virgin Islands,1,1,,-3.28119E+12,-3.28119E+12,Tue Jan 09 1866 00:00:00 GMT-0500 (EST),Tue Jan 09 1866 00:00:00 GMT-0500 (EST),0
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)","January 9���12, 1866",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,Virgin Islands,St. Croix,,sec-0,William Henry Seward,2,17.7245968,-64.8347992,,U.S. Virgin Islands,1,1,,-3.28119E+12,-3.28111E+12,Tue Jan 09 1866 00:00:00 GMT-0500 (EST),Wed Jan 10 1866 00:00:00 GMT-0500 (EST),1
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)","January 9���12, 1866",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,Virgin Islands,Frederikstadt,,sec-0,William Henry Seward,3,17.7124746,-64.8815352,Frederiksted,U.S. Virgin Islands,1,1,,-3.28111E+12,-3.28102E+12,Wed Jan 10 1866 00:00:00 GMT-0500 (EST),Thu Jan 11 1866 00:00:00 GMT-0500 (EST),1
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)","January 9���12, 1866",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,Virgin Islands,Christianstadt,,sec-0,William Henry Seward,4,,,,,,1,,-3.28102E+12,-3.28094E+12,Thu Jan 11 1866 00:00:00 GMT-0500 (EST),Fri Jan 12 1866 00:00:00 GMT-0500 (EST),1
Dominican Republic,Santo Domingo,"January 14, 1866",Met with President Baez and his Cabinet.,Dominican Republic,Santo Domingo,,sec-0,William Henry Seward,5,18.4860575,-69.9312117,Santo Domingo,Dominican Republic,1,,,-3.28076E+12,-3.28068E+12,Sun Jan 14 1866 00:00:00 GMT-0500 (EST),Mon Jan 15 1866 00:00:00 GMT-0500 (EST),1
Haiti,Port-au-Prince,"January 16���17, 1866",Met with President Geffrand and his Cabinet.,Haiti,Port-au-Prince,,sec-0,William Henry Seward,6,18.594395,-72.3074326,Port-au-Prince,Haiti,1,,,-3.28059E+12,-3.2805E+12,Tue Jan 16 1866 00:00:00 GMT-0500 (EST),Wed Jan 17 1866 00:00:00 GMT-0500 (EST),1
Spain,Havana (Cuba),"January 20���23, 1866",Met with Spanish colonial officials. Returned to U.S. January 28.,Cuba,Havana,,sec-0,William Henry Seward,7,23.1135925,-82.3665956,Havana,Cuba,1,,,-3.28024E+12,-3.27999E+12,Sat Jan 20 1866 00:00:00 GMT-0500 (EST),Tue Jan 23 1866 00:00:00 GMT-0500 (EST),3
Italy,"Genoa, Nervi","April 3���29, 1905",Vacation trip for health reasons. Left U.S. March 17.,Italy,"Genoa, Nervi",,sec-1,John Milton Hay,8,44.3837051,9.0391431,Genoa,Italy,1,,1,-2.04326E+12,-2.04101E+12,Mon Apr 03 1905 00:00:00 GMT-0400 (EDT),Sat Apr 29 1905 00:00:00 GMT-0400 (EDT),26
Italy,"Genoa, Nervi","April 3���29, 1905",Vacation trip for health reasons. Left U.S. March 17.,Italy,Genoa,,sec-1,John Milton Hay,9,44.4056499,8.946256,Genoa,Italy,1,1,,-2.04326E+12,-2.04214E+12,Mon Apr 03 1905 00:00:00 GMT-0400 (EDT),Sun Apr 16 1905 00:00:00 GMT-0400 (EDT),13
