sec_id,url,name,years
sec-0,https://history.state.gov/departmenthistory/travels/secretary/seward-william-henry,William Henry Seward,1861–1869
sec-1,https://history.state.gov/departmenthistory/travels/secretary/hay-john-milton,John Milton Hay,1898–1905
sec-2,https://history.state.gov/departmenthistory/travels/secretary/root-elihu,Elihu Root,1905–1909
sec-3,https://history.state.gov/departmenthistory/travels/secretary/knox-philander-chase,Philander Chase Knox,1909–1913
sec-4,https://history.state.gov/departmenthistory/travels/secretary/lansing-robert,Robert Lansing,1915–1920
sec-5,https://history.state.gov/departmenthistory/travels/secretary/colby-bainbridge,Bainbridge Colby,1920–1921
sec-6,https://history.state.gov/departmenthistory/travels/secretary/hughes-charles-evans,Charles Evans Hughes,1921–1925
sec-7,https://history.state.gov/departmenthistory/travels/secretary/kellogg-frank-billings,Frank Billings Kellogg,1925–1929
sec-8,https://history.state.gov/departmenthistory/travels/secretary/stimson-henry-lewis,Henry Lewis Stimson,1929–1933
sec-9,https://history.state.gov/departmenthistory/travels/secretary/hull-cordell,Cordell Hull,1933–1944
sec-10,https://history.state.gov/departmenthistory/travels/secretary/stettinius-edward-reilly,Edward Reilly Stettinius Jr.,1944–1945
sec-11,https://history.state.gov/departmenthistory/travels/secretary/byrnes-james-francis,James Francis Byrnes,1945–1947
sec-12,https://history.state.gov/departmenthistory/travels/secretary/marshall-george-catlett,George Catlett Marshall,1947–1949
sec-13,https://history.state.gov/departmenthistory/travels/secretary/acheson-dean-gooderham,Dean Gooderham Acheson,1949–1953
sec-14,https://history.state.gov/departmenthistory/travels/secretary/dulles-john-foster,John Foster Dulles,1953–1959
sec-15,https://history.state.gov/departmenthistory/travels/secretary/herter-christian-archibald,Christian Archibald Herter,1959–1961
sec-16,https://history.state.gov/departmenthistory/travels/secretary/rusk-david-dean,David Dean Rusk,1961–1969
sec-17,https://history.state.gov/departmenthistory/travels/secretary/rogers-william-pierce,William Pierce Rogers,1969–1973
sec-18,https://history.state.gov/departmenthistory/travels/secretary/kissinger-henry-a,Henry A. (Heinz Alfred) Kissinger,Heinz Alfred
sec-19,https://history.state.gov/departmenthistory/travels/secretary/vance-cyrus-roberts,Cyrus Roberts Vance,1977–1980
sec-20,https://history.state.gov/departmenthistory/travels/secretary/muskie-edmund-sixtus,Edmund Sixtus Muskie,1980–1981
sec-21,https://history.state.gov/departmenthistory/travels/secretary/haig-alexander-meigs,Alexander Meigs Haig Jr.,1981–1982
sec-22,https://history.state.gov/departmenthistory/travels/secretary/shultz-george-pratt,George Pratt Shultz,1982–1989
sec-23,https://history.state.gov/departmenthistory/travels/secretary/baker-james-addison,James Addison Baker III,1989–1992
sec-24,https://history.state.gov/departmenthistory/travels/secretary/christopher-warren-minor,Warren Minor Christopher,1993–1997
sec-25,https://history.state.gov/departmenthistory/travels/secretary/albright-madeleine-korbel,Madeleine Korbel Albright,1997–2001
sec-26,https://history.state.gov/departmenthistory/travels/secretary/powell-colin-luther,Colin Luther Powell,2001–2005
sec-27,https://history.state.gov/departmenthistory/travels/secretary/rice-condoleezza,Condoleezza Rice,2005–2009
sec-28,https://history.state.gov/departmenthistory/travels/secretary/clinton-hillary-rodham,Hillary Rodham Clinton,2009–2013
sec-29,https://history.state.gov/departmenthistory/travels/secretary/kerry-john-forbes,John Forbes Kerry,2013–
